rank,edge_id,road_name,length_m,traffic_volume,mean_speed_kmh,waiting_per_sampled_s,timeLoss_per_sampled_s,mean_queue_length_m,max_queue_length_m,hotspot_score
1,780976046#0,Lebuhraya Tun Doktor Lim Chong Eu,12.54,435,2.397,0.813,0.962,14.591,41.7,97.85
2,7706999,Lebuhraya Tun Doktor Lim Chong Eu,204.04,767,12.254,0.606,0.846,58.657,199.23,97.693
3,579074814,Pengkalan Weld,30.9,547,9.879,0.532,0.9,4.378,39.1,97.234
4,422712232#0,Jalan Doktor Lim Chwee Leong,10.61,426,3.879,0.79,0.961,4.64,25.0,97.198
5,579074816,Gat Jalan Prangin,12.46,504,6.448,0.607,0.886,5.02,20.02,96.498
6,204621948,Jalan C.Y. Choy,101.05,590,16.563,0.413,0.762,8.317,45.44,95.906
7,706923915,Lebuh Chulia,24.66,256,4.772,0.727,0.942,6.408,38.79,95.0
8,232874891#2,Jalan Sultan Ahmad Shah,9.25,766,18.144,0.288,0.817,0.529,10.91,94.867
9,41570134#1,Gat Jalan Prangin,60.3,502,19.252,0.261,0.807,3.103,70.66,94.589
10,573603768#0,Lebuhraya Tun Doktor Lim Chong Eu,11.92,232,2.01,0.815,0.975,6.953,21.2,94.348
11,-747362364#0,Jalan Masjid Kapitan Keling,32.96,191,5.84,0.703,0.941,4.059,32.06,93.357
12,581111411,Lebuh Lintang,71.41,123,0.815,0.865,0.99,50.784,70.75,92.874
13,180391453,Pengkalan Weld,12.48,548,23.635,0.238,0.761,0.616,19.5,92.85
14,180390898#0,Gat Lebuh Maccallum,29.26,204,7.235,0.639,0.845,3.047,25.6,92.79
15,714362126#5,Lebuh Carnarvon,36.2,260,13.669,0.5,0.841,1.965,16.6,92.705
16,784865484#0,Lebuh Lintang,20.27,114,0.796,0.919,0.987,21.502,31.1,92.512
17,184390382,Jalan Doktor Lim Chwee Leong,50.12,293,22.886,0.475,0.768,1.086,25.6,92.343
18,784865483,Jalan Doktor Lim Chwee Leong,17.63,206,9.084,0.565,0.908,1.499,13.5,92.222
19,232874898#4,Pengkalan Weld,38.8,183,10.233,0.685,0.898,2.048,16.6,92.174
20,747351267#3,Jalan Sri Bahari,19.05,261,13.569,0.336,0.691,0.951,20.1,91.425
21,579074811,Pengkalan Weld,30.94,670,25.714,0.1,0.736,0.175,10.67,91.196
22,168169936#1,Lebuh Acheh,29.09,250,13.419,0.24,0.73,1.665,32.21,91.111
23,750501575,Jalan Penang,55.95,280,22.835,0.348,0.746,1.113,13.51,91.099
24,1148900442,Gat Lebuh Melayu,23.58,382,18.532,0.115,0.625,0.45,17.22,90.471
25,-1079925970,Pengkalan Weld,17.82,517,20.344,0.062,0.592,0.777,20.5,90.447
26,784800203,Jalan Masjid Kapitan Keling,62.61,101,11.239,0.615,0.88,1.708,18.1,90.109
27,786282137#0,Jalan Magazine,0.2,631,22.937,0.0,0.769,0.0,0.0,89.674
28,572827188,Pengkalan Weld,63.35,166,19.903,0.451,0.799,0.89,16.6,89.143
29,978296550#0,Lebuh Farquhar,30.24,552,30.322,0.003,0.696,0.57,34.77,89.07
30,858726279#1,Gat Lebuh Melayu,38.37,391,20.182,0.137,0.54,0.843,24.71,89.034
31,31250743,Jalan Masjid Kapitan Keling,64.83,287,22.949,0.227,0.54,0.788,21.85,87.874
32,65692233#3,Jalan Pintal Tali,46.01,133,13.922,0.469,0.684,0.418,5.1,87.476
33,48737683#4,Lorong Seck Chuan,20.9,28,13.299,0.397,0.74,0.159,9.71,85.87
34,579261136#1,Jalan Masjid Kapitan Keling,34.0,245,32.252,0.285,0.642,0.273,5.55,85.217
35,1030470925,(unnamed),13.26,297,15.122,0.011,0.48,0.0,0.0,85.097
36,23370415#3,Lebuh Cintra,24.9,117,18.829,0.188,0.551,0.195,9.7,84.589
37,-160439553#0,Lorong Argus,51.07,412,24.805,0.017,0.437,0.389,23.74,84.553
38,760556928#1,Jalan Penang,11.21,60,16.307,0.155,0.705,0.084,5.1,84.517
39,747351289,Lebuh Chulia,27.56,386,32.869,0.0,0.667,0.0,0.0,84.408
40,979454442#0,Jalan Argyll,7.03,265,27.712,0.0,0.649,0.0,0.0,84.203
41,979454431,Lebuh Pasar,30.62,149,19.638,0.18,0.544,0.12,5.1,84.191
42,183547136,Lebuh Farquhar,39.16,481,36.61,0.0,0.629,0.0,0.0,83.756
43,572827181,Gat Lebuh Melayu,22.62,382,26.261,0.035,0.469,0.0,0.0,83.744
44,31283701#5,Lebuh Pantai,19.98,385,24.683,0.0,0.5,0.0,0.0,83.575
45,31250820#2,Gat Lebuh Armenian,58.62,35,19.698,0.374,0.608,0.111,6.8,83.466
46,842950907,Jalan Sultan Ahmad Shah,4.49,255,28.94,0.0,0.634,0.0,0.0,83.309
47,23109528#12,Lebuh Farquhar,6.15,255,27.172,0.0,0.597,0.0,0.0,83.249
48,168175854,Lebuh Carnarvon,58.66,100,22.184,0.27,0.533,0.474,9.7,83.2
49,786282137#1,Jalan Magazine,61.37,832,37.841,0.0,0.562,0.0,0.0,83.14
50,993415067,Jalan Doktor Lim Chwee Leong,13.33,419,39.385,0.082,0.58,0.0,0.0,82.959
51,23159651#0,Lebuh Downing,20.7,86,23.597,0.025,0.738,0.0,0.0,82.947
52,784913377,Gat Jalan Magazine,67.97,40,27.822,0.398,0.704,0.248,6.0,82.754
53,232874891#1,Jalan Sultan Ahmad Shah,7.73,767,43.154,0.043,0.564,0.0,0.0,82.403
54,65684835,Lebuh Carnarvon,82.26,337,40.455,0.09,0.563,0.18,5.48,82.053
55,1378702953,Lebuh Downing,16.77,86,22.859,0.0,0.731,0.0,0.0,82.041
56,993415066,Jalan Hutton,192.58,169,35.821,0.329,0.548,1.477,13.5,81.739
57,761361241,Lebuh Muntri,22.5,85,19.491,0.158,0.518,0.0,0.0,81.365
58,32079731#4,Jalan Pintal Tali,28.23,133,23.75,0.084,0.518,0.084,5.13,81.063
59,1079925970,Pengkalan Weld,18.76,274,37.773,0.0,0.618,0.0,0.0,81.014
60,714362123#4,Lebuh Kimberley,53.62,295,29.084,0.032,0.414,0.0,0.0,80.737
61,41593077#0,Jalan Doktor Lim Chwee Leong,17.14,297,39.473,0.0,0.602,0.0,0.0,80.447
62,168169935,Lebuh Acheh,14.84,231,22.54,0.031,0.412,0.0,0.0,80.374
63,579261137#2,Lorong Love,20.45,481,24.906,0.0,0.366,0.0,0.0,80.374
64,-1079925969,Pengkalan Weld,32.52,517,44.388,0.005,0.55,0.0,0.0,79.553
65,232874892#0,Jalan Penang,6.77,314,41.614,0.0,0.58,0.0,0.0,79.444
66,978296550#3,Lebuh Farquhar,2.79,550,42.534,0.0,0.507,0.0,0.0,79.203
67,579074810,Pengkalan Weld,19.17,545,44.4,0.0,0.55,0.0,0.0,79.179
68,1315231082#1,Kampung Kaka,2.04,63,23.357,0.0,0.56,0.0,0.0,79.118
69,762420639#2,Lebuh Victoria,16.93,248,28.377,0.0,0.444,0.0,0.0,79.034
70,204621947#1,Lebuh Carnarvon,68.18,434,43.706,0.0,0.558,0.0,0.0,78.998
71,48737681,Kampung Kaka,18.78,63,31.175,0.0,0.683,0.0,0.0,78.877
72,-747362364#1,Jalan Masjid Kapitan Keling,52.85,191,43.959,0.237,0.564,0.182,11.1,78.792
73,747362366#5,Lebuh Chulia,12.18,68,22.273,0.0,0.527,0.0,0.0,78.599
74,-31249857#0,(unnamed),34.65,434,28.394,0.0,0.345,0.0,0.0,78.575
75,979454442#1,Jalan Argyll,17.31,264,37.646,0.0,0.523,0.0,0.0,78.539
76,23109784,Jalan Penang,22.69,314,39.528,0.0,0.517,0.0,0.0,78.478
77,578842217#5,Jalan Kuala Kangsar,49.31,92,27.457,0.126,0.447,0.084,5.12,78.478
78,1148896922,Pengkalan Weld,22.2,183,38.779,0.0,0.613,0.0,0.0,78.297
79,1458623110,Lebuh Queen,26.05,10,21.524,0.159,0.469,0.0,0.0,78.164
80,32079731#2,Jalan Pintal Tali,0.2,133,25.581,0.0,0.479,0.0,0.0,78.152
81,573603767,Gat Lebuh Maccallum,5.01,257,37.879,0.0,0.523,0.0,0.0,78.116
